ranking,game_id,name,min_players,max_players,avg_timeplay,min_timeplay,max_timeplay,year,avg_rating,num_votes,age,category,designer,weight
4067,123129,We Didn't Playtest This: Legacies,2,15,2,2,2,2012,6.24103,312,12,Card Game,Chris Cieslik,1
1571,19841,Pentago,2,2,5,2,5,2005,6.42794,2347,8,Abstract Strategy,Tomas Flod_n,1.8968
1671,107190,Flash Duel: Second Edition,1,5,5,2,5,2011,6.95994,714,0,"Card Game, Fantasy, Fighting",David Sirlin,1.6071
1818,102148,NOIR: Deductive Mystery Game,2,9,5,5,5,2012,6.68451,845,8,"Deduction, Murder/Mystery, Spies/Secret Agents","D. Brad Talton, Jr.",1.6078
2217,33468,Zombie in my Pocket,1,1,5,5,5,2007,6.33625,1426,11,"Adventure, Exploration, Fighting, Horror, Print & Play, Zombies",Jeremiah Lee,1.3035
2449,125048,Dobble: Kostenlose Demoversion,2,8,5,2,5,0,6.6828,599,6,"Children's Game, Party Game, Real-time",Denis Blanchot,1.0312
2764,17,Button Men,2,2,5,5,5,1999,6.31401,728,10,"Collectible Components, Dice, Fighting, Print & Play",James Ernest,1.5493
3264,65334,Flash Duel,2,2,5,2,5,2010,6.71965,311,0,"Card Game, Fantasy, Fighting",David Sirlin,1.4783
3442,29140,Tumblin-Dice Jr.,2,2,5,5,5,2006,6.68594,229,6,"Action / Dexterity, Children's Game, Dice",Randy Nash,1
3571,22465,On the Dot,2,4,5,5,5,2006,6.24698,431,10,Abstract Strategy,Dominique Bodin,1.6735
3934,165346,Mint Tin Pirates,2,2,5,5,5,2014,7.59225,187,10,"Card Game, Dice, Pirates",David Rene Miller,1.069
4631,13230,Gobblet Gobblers,2,2,5,5,5,2003,6.11497,334,5,"Abstract Strategy, Children's Game, Memory",Thierry Denoual,1.3704
4653,11929,Go-Moku,2,2,5,5,5,700,5.98202,426,8,Abstract Strategy,(Uncredited),1.9375
4705,165347,Mint Tin Aliens,2,2,5,2,5,2014,7.61728,162,10,"Card Game, Science Fiction",David Rene Miller,1.1429
4771,41763,Le Passe-Trappe Grande,2,2,5,5,5,2008,6.95167,96,10,Action / Dexterity,(Uncredited),1
4838,198836,3 Wishes,3,5,5,5,5,2016,5.907,476,8,"Deduction, Memory, Mythology",Chris Castagnetto,1
4893,93001,IceDice,2,4,5,5,5,2011,6.44,180,14,Dice,Andrew Looney,1.1579
4941,158882,Elevenses for One,1,1,5,5,5,2014,6.4503,165,10,"Card Game, Print & Play",David Harding (II),1.25
205,147949,One Night Ultimate Werewolf,3,10,10,10,10,2014,7.35829,11474,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4088
330,163166,One Night Ultimate Werewolf Daybreak,3,7,10,10,10,2015,7.56417,2643,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4478
364,113294,Escape: The Curse of the Temple,1,5,10,10,10,2012,7.10077,11619,8,"Adventure, Dice, Electronic, Exploration, Real-time",Kristian Amundsen Ìüstby,1.4801
529,171273,FUSE,1,5,10,10,10,2015,7.23544,2804,10,"Action / Dexterity, Dice, Real-time",Kane Klenko,1.7736
586,327,Loopin' Louie,2,4,10,10,10,1992,6.8884,6665,4,"Action / Dexterity, Animals, Aviation / Flight, Children's Game, Electronic, Movies / TV / Radio theme, Real-time","Masaru Aoki, Carol Wiseley",1.0544
717,165722,KLASK,2,2,10,10,10,2014,7.67115,1006,0,Action / Dexterity,Mikkel Bertelsen,1.0455
962,8098,Jungle Speed,2,8,10,3,10,1997,6.57724,7998,7,"Action / Dexterity, Card Game, Party Game, Real-time","Thomas Vuarchex, Pierrick Yakovenko",1.1517
1113,158339,Lost Legacy: The Starship,2,4,10,3,10,2014,6.73127,2066,10,"Bluffing, Card Game, Deduction, Science Fiction","Seiji Kanai, Hayato Kisaragi",1.2816
1306,39206,Click Clack Lumberjack,2,7,10,10,10,2008,6.52035,2653,5,"Action / Dexterity, Children's Game",Justin Oh,1.0438
1351,158340,Lost Legacy: Flying Garden,2,4,10,10,10,2014,6.80576,1200,10,"Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi",1.3455
1383,180956,One Night Ultimate Vampire,3,10,10,10,10,2015,7.03917,850,8,"Bluffing, Card Game, Deduction, Horror, Party Game","Ted Alspach, Akihisa Okui",1.4783
1451,10550,Big Boggle,2,8,10,10,10,1979,6.8509,1016,8,"Real-time, Word Game",Alan Turoff,1.5567
