winner,fips,state,county,pop2014,pop2010,pop_change,under5,under18,over65,female,black,hispanic,undergrad,density
Trump,1001,AL,Autauga County,55395,54571,1.5,0.06,0.252,0.138,0.514,0.187,0.027,0.209,91.8
Trump,1003,AL,Baldwin County,200111,182265,9.8,0.056,0.222,0.187,0.512,0.096,0.046,0.277,114.6
Trump,1005,AL,Barbour County,26887,27457,-2.1,0.057,0.212,0.165,0.466,0.476,0.045,0.134,31
Trump,1007,AL,Bibb County,22506,22919,-1.8,0.053,0.21,0.148,0.459,0.221,0.021,0.121,36.8
Trump,1009,AL,Blount County,57719,57322,0.7,0.061,0.236,0.17,0.505,0.018,0.087,0.121,88.9
Clinton,1011,AL,Bullock County,10764,10915,-1.4,0.063,0.214,0.149,0.453,0.701,0.075,0.125,17.5
Trump,1013,AL,Butler County,20296,20946,-3.1,0.061,0.236,0.18,0.536,0.44,0.012,0.14,27
Trump,1015,AL,Calhoun County,115916,118586,-2.3,0.057,0.222,0.16,0.518,0.211,0.035,0.161,195.7
Trump,1017,AL,Chambers County,34076,34170,-0.3,0.059,0.214,0.183,0.523,0.395,0.02,0.118,57.4
Trump,1019,AL,Cherokee County,26037,25986,0.2,0.048,0.204,0.209,0.502,0.046,0.015,0.128,46.9
Trump,1021,AL,Chilton County,43931,43631,0.7,0.064,0.242,0.152,0.508,0.106,0.077,0.129,63
Trump,1023,AL,Choctaw County,13323,13858,-3.9,0.049,0.206,0.208,0.525,0.424,0.008,0.118,15.2
Trump,1025,AL,Clarke County,24945,25840,-3.5,0.056,0.226,0.18,0.528,0.442,0.013,0.112,20.9
Trump,1027,AL,Clay County,13552,13932,-2.7,0.053,0.216,0.194,0.506,0.145,0.034,0.092,23.1
Trump,1029,AL,Cleburne County,15080,14972,0.7,0.057,0.233,0.184,0.504,0.036,0.025,0.09,26.7
Trump,1031,AL,Coffee County,50909,49948,1.9,0.061,0.237,0.159,0.505,0.177,0.064,0.225,73.6
Trump,1033,AL,Colbert County,54543,54428,0.2,0.057,0.217,0.185,0.518,0.163,0.026,0.177,91.8
Trump,1035,AL,Conecuh County,12670,13228,-4.2,0.055,0.214,0.204,0.519,0.462,0.018,0.088,15.6
Trump,1037,AL,Coosa County,10886,11758,-7.4,0.048,0.183,0.185,0.495,0.318,0.023,0.098,17.7
Trump,1039,AL,Covington County,37914,37765,0.4,0.059,0.221,0.198,0.516,0.13,0.016,0.142,36.6
Trump,1041,AL,Crenshaw County,13977,13906,0.5,0.061,0.227,0.18,0.511,0.24,0.017,0.127,22.8
Trump,1043,AL,Cullman County,81289,80410,1.1,0.059,0.225,0.176,0.505,0.014,0.044,0.148,109.4
Trump,1045,AL,Dale County,49484,50251,-1.5,0.063,0.236,0.154,0.505,0.197,0.061,0.17,89.6
Clinton,1047,AL,Dallas County,41711,43820,-4.8,0.067,0.252,0.156,0.537,0.695,0.01,0.142,44.8
Trump,1049,AL,DeKalb County,71065,71115,-0.1,0.062,0.247,0.157,0.507,0.021,0.142,0.107,91.5
Trump,1051,AL,Elmore County,80977,79296,2.1,0.059,0.23,0.14,0.515,0.212,0.027,0.21,128.2
Trump,1053,AL,Escambia County,37733,38319,-1.5,0.061,0.22,0.167,0.488,0.324,0.021,0.117,40.5
Trump,1055,AL,Etowah County,103531,104427,-0.9,0.057,0.221,0.173,0.516,0.155,0.037,0.148,195.2
